Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
22,Tyrell Williams (FA),6,12,71,11.8,26,1,0,0,0,0,0,1,13.1,13.1,0.1%,2018,15
23,Aldrick Robinson (FA),2,2,44,22,40,1,1,0,0,0,0,1,12.4,12.4,0.0%,2018,15
24,Josh Reynolds (DET),5,12,70,14,33,1,0,0,0,0,0,1,12,12,0.9%,2018,15
25,Brandin Cooks (HOU),6,7,59,9.8,20,1,0,0,0,0,0,1,11.9,11.9,94.7%,2018,15
26,Justin Hardy (FA),3,3,29,9.7,18,0,1,0,0,0,0,1,11.9,11.9,0.0%,2018,15
27,Demaryius Thomas (FA),6,8,59,9.8,27,2,0,0,0,0,0,1,11.9,11.9,0.1%,2018,15
28,Michael Thomas (NO),7,9,49,7,12,0,0,0,0,0,0,1,11.9,11.9,93.7%,2018,15
29,Isaiah McKenzie (BUF),6,7,53,8.8,16,0,0,1,4,0,0,1,11.7,11.7,0.9%,2018,15
30,DaeSean Hamilton (HOU),7,12,46,6.6,14,0,0,0,0,0,0,1,11.6,11.6,0.6%,2018,15
31,Tim Patrick (DEN),5,8,65,13,24,1,0,0,0,0,0,1,11.5,11.5,39.3%,2018,15
32,Willie Snead IV (FA),5,6,58,11.6,28,1,0,0,0,0,0,1,10.8,10.8,0.0%,2018,15
33,Andre Roberts (CAR),3,4,16,5.3,13,0,1,0,0,0,0,1,10.6,10.6,0.1%,2018,15
34,Trent Sherfield (MIA),3,5,15,5,7,0,1,0,0,0,0,1,10.5,10.5,0.1%,2018,15
35,Breshad Perriman (TB),1,2,31,31,31,1,1,0,0,0,0,1,10.1,10.1,0.2%,2018,15
36,James Washington (DAL),3,4,65,21.7,32,2,0,0,0,0,0,1,9.5,9.5,13.9%,2018,15
37,Golden Tate (FA),5,5,43,8.6,11,0,0,0,0,0,0,1,9.3,9.3,0.0%,2018,15
38,Calvin Ridley (ATL),5,7,42,8.4,14,0,0,0,0,0,0,1,9.2,9.2,2.0%,2018,15
39,Courtland Sutton (DEN),5,6,42,8.4,13,0,0,0,0,0,0,1,9.2,9.2,92.4%,2018,15
40,Andy Jones (FA),2,2,9,4.5,5,0,1,0,0,0,0,1,8.9,8.9,0.0%,2018,15
41,Demarcus Robinson (LV),2,3,7,3.5,5,0,1,0,0,0,0,1,8.7,8.7,0.5%,2018,15
42,Jamison Crowder (BUF),4,4,46,11.5,33,1,0,0,0,0,0,1,8.6,8.6,12.8%,2018,15
43,Travis Benjamin (SF),2,3,57,28.5,31,2,0,1,8,0,0,1,8.5,8.5,0.0%,2018,15
44,Allen Robinson II (LAR),3,7,54,18,30,1,0,0,0,0,0,1,8.4,8.4,90.6%,2018,15
45,Amari Cooper (CLE),4,7,32,8,11,0,0,1,11,0,0,1,8.3,8.3,95.6%,2018,15
46,Cole Beasley (FA),4,7,42,10.5,14,0,0,0,0,0,0,1,8.2,8.2,1.5%,2018,15
47,DeAndre Carter (LAC),2,3,55,27.5,50,1,0,1,7,0,0,1,8.2,8.2,0.6%,2018,15
48,Tyreek Hill (MIA),4,7,46,11.5,33,1,0,3,-5,0,0,1,8.1,8.1,99.9%,2018,15
49,JuJu Smith-Schuster (KC),4,10,40,10,22,1,0,0,0,0,0,1,8,8,93.9%,2018,15
50,Tyler Lockett (SEA),2,2,45,22.5,28,1,0,1,11,0,0,1,7.6,7.6,92.2%,2018,15
51,Dede Westbrook (FA),3,5,21,7,8,0,0,1,20,0,0,1,7.1,7.1,0.1%,2018,15
52,Mohamed Sanu Sr. (SF),3,6,30,10,16,0,0,1,11,0,0,1,7.1,7.1,0.0%,2018,15
53,Chris Moore (HOU),1,1,5,5,5,0,1,1,-5,0,0,1,7,7,0.1%,2018,15
54,Jarvis Landry (FA),3,8,37,12.3,19,0,0,0,0,0,0,1,6.7,6.7,66.0%,2018,15
55,Corey Davis (NYJ),3,6,33,11,17,0,0,0,0,0,0,1,6.3,6.3,55.8%,2018,15
56,Taylor Gabriel (FA),3,3,33,11,14,0,0,0,0,0,0,1,6.3,6.3,0.1%,2018,15
57,Bennie Fowler III (FA),2,4,43,21.5,25,1,0,0,0,0,0,1,6.3,6.3,0.0%,2018,15
58,Adam Humphries (FA),4,6,23,5.8,8,0,0,0,0,0,0,1,6.3,6.3,0.6%,2018,15
59,Keith Kirkwood (FA),2,2,40,20,21,1,0,0,0,0,0,1,6,6,0.0%,2018,15
