Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
295,Janarion Grant (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2018
296,Cam Sims (WAS),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2018
460,Markus Wheaton (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018
465,Brandon Tate (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018
474,Mike Wallace (FA),0,3,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2018
477,Matthew Slater (NE),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.1%,2018
484,Tanner McEvoy (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2018
485,Jaydon Mickens (FA),0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.0%,2018
486,Isaiah Ford (MIA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018
489,Malachi Dupre (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018
493,Johnny Holton (FA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018
494,Trevor Davis (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2018
495,Keenan Reynolds (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2018
496,Alonzo Russell (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018
497,Mose Frazier (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018
498,Mike Thomas (CIN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2018
499,Stacy Coley (FA),0,1,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2018
500,Lance Lenoir Jr. (FA),0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.0%,2018
503,Quadree Henderson (FA),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0%,2018
504,Da'Mari Scott (FA),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2018
505,Chris Lacy (FA),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018
507,Daurice Fountain (KC),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018
513,Jamal Agnew (JAC),0,0,0,0,0,0,0,1,17,0,0,6,0,0,0.3%,2018
515,Brendan Langley (FA),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.0%,2018
517,Deante Burton (FA),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2018
518,Freddie Martino (FA),0,1,0,0,0,0,0,0,0,0,0,4,0,0,0.1%,2018
519,Ty Montgomery (NE),25,40,235,9.4,43,2,0,41,188,1,1,13,0,0,0.1%,2018
520,Pharoh Cooper (FA),0,1,0,0,0,0,0,0,0,0,0,7,0,0,0.0%,2018
521,Duron Carter (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018
522,Geremy Davis (FA),0,1,0,0,0,0,0,0,0,0,0,14,0,0,0.0%,2018
524,Bradley Marquez (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018
525,J.J. Jones (FA),1,1,3,3,3,0,0,1,0,0,1,4,-0.7,-0.2,0.0%,2018
526,Rod Streater (FA),0,0,0,0,0,0,0,1,-11,0,0,3,-1.1,-0.4,0.1%,2018
527,Kaelin Clay (FA),0,0,0,0,0,0,0,0,0,0,1,2,-2,-1,0.0%,2018
528,JoJo Natson (FA),0,0,0,0,0,0,0,0,0,0,1,13,-2,-0.2,0.0%,2018
529,Riley McCarron (FA),0,1,0,0,0,0,0,0,0,0,1,1,-2,-2,0.0%,2018
