Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season
26,Randy Bullock (TEN),21,26,80.8,55,0,3,8,7,3,24,25,12,100,8.3,2.0%,2020
31,Riley Patterson (DET),13,14,92.9,49,0,3,6,4,0,16,16,7,59,8.4,1.0%,2021
8,Robbie Gould (SF),33,34,97.1,53,0,9,13,9,2,27,29,16,139,8.7,32.9%,2018
16,Robbie Gould (SF),23,31,74.2,47,0,9,8,6,0,41,42,13,116,8.9,32.9%,2019
22,Robbie Gould (SF),20,23,87,52,0,6,4,7,3,39,40,13,112,8.6,32.9%,2021
24,Robbie Gould (SF),19,23,82.6,52,0,3,5,9,2,36,38,15,106,7.1,32.9%,2020
6,Rodrigo Blankenship (IND),32,37,86.5,53,0,10,12,9,1,43,45,16,150,9.4,7.5%,2020
33,Rodrigo Blankenship (IND),11,14,78.6,48,0,3,3,5,0,7,8,5,45,9,7.5%,2021
40,Ryan Santoso (JAC),4,5,80,35,0,3,1,0,0,6,8,4,18,4.5,0.0%,2021
46,Ryan Santoso (JAC),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2019
8,Ryan Succop (TB),28,31,90.3,50,1,10,9,7,1,52,57,16,145,9.1,16.1%,2020
14,Ryan Succop (TB),25,30,83.3,48,0,11,7,7,0,56,59,17,138,8.1,16.1%,2021
18,Ryan Succop (TB),26,30,86.7,54,0,5,13,5,3,28,31,16,117,7.3,16.1%,2018
39,Ryan Succop (TB),1,6,16.7,31,0,0,1,0,0,24,25,7,27,3.9,16.1%,2019
27,Sam Ficken (FA),19,27,70.4,54,0,2,7,7,3,23,26,15,93,6.2,0.1%,2019
32,Sam Ficken (FA),13,15,86.7,54,0,5,6,1,1,12,15,9,54,6,0.1%,2020
40,Sam Ficken (FA),1,3,33.3,34,0,0,1,0,0,10,10,2,13,6.5,0.1%,2018
31,Sam Sloman (PIT),10,13,76.9,47,0,2,6,2,0,23,26,8,55,6.9,0.0%,2020
13,Sebastian Janikowski (FA),22,27,81.5,56,0,2,9,8,3,48,51,16,128,8,20.0%,2018
67,Sebastian Janikowski (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,20.0%,2019
34,Sergio Castillo (NYJ),8,13,61.5,55,0,1,3,2,2,6,7,6,36,6,0.0%,2020
10,Stephen Gostkowski (FA),27,32,84.4,52,0,11,10,4,2,49,50,16,138,8.6,0.1%,2018
21,Stephen Gostkowski (FA),18,26,69.2,55,0,2,4,5,7,46,48,15,119,7.9,0.1%,2020
36,Stephen Gostkowski (FA),7,8,87.5,41,0,3,3,1,0,11,15,4,33,8.3,0.1%,2019
22,Stephen Hauschka (FA),22,28,78.6,51,0,5,7,9,1,30,32,16,107,6.7,0.0%,2019
