Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
259,Ross Travis (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
22,Ryan Griffin (CHI),34,41,320,9.4,45,4,5,0,0,0,0,13,98,7.5,0.1%,2019
36,Ryan Griffin (CHI),27,42,261,9.7,29,0,2,0,0,0,0,14,65.1,4.7,0.1%,2021
39,Ryan Griffin (CHI),24,43,305,12.7,47,3,0,0,0,0,0,14,54.5,3.9,0.1%,2018
78,Ryan Griffin (CHI),9,12,86,9.6,23,0,0,0,0,0,0,15,17.6,1.2,0.1%,2020
302,Ryan Hewitt (FA),1,2,1,1,1,0,1,0,0,0,0,12,0,0,0.0%,2018
62,Ryan Izzo (TEN),13,20,199,15.3,50,0,0,0,0,0,1,12,30.9,2.6,0.0%,2020
69,Ryan Izzo (TEN),6,9,114,19,41,3,1,0,0,0,0,6,23.4,3.9,0.0%,2019
172,Sammis Reyes (WAS),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0%,2021
67,Scott Simonson (FA),9,14,86,9.6,24,1,1,0,0,0,0,16,23.6,1.5,0.0%,2018
105,Scott Simonson (FA),2,2,11,5.5,10,0,0,0,0,0,0,6,3.1,0.5,0.0%,2019
108,Sean Culkin (FA),1,1,24,24,24,1,0,0,0,0,0,13,3.4,0.3,0.0%,2018
107,Sean Culkin (FA),1,2,12,12,12,0,0,0,0,0,0,4,2.2,0.6,0.0%,2019
266,Sean Culkin (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
82,Sean McKeon (DAL),4,6,27,6.8,12,0,1,0,0,0,0,5,12.7,2.5,0.1%,2021
122,Sean McKeon (DAL),0,0,0,0,0,0,0,0,0,0,0,14,0,0,0.1%,2020
64,Seth DeValve (FA),12,18,140,11.7,20,1,0,0,0,0,0,12,26,2.2,0.0%,2019
74,Seth DeValve (FA),5,7,74,14.8,26,2,1,0,0,0,0,13,18.4,1.4,0.0%,2018
265,Seth DeValve (FA),0,1,0,0,0,0,0,0,0,0,0,4,0,0,0.0%,2020
298,Shane Smith (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.1%,2018
95,Shane Zylstra (DET),3,7,34,11.3,16,0,0,0,0,0,0,3,6.4,2.1,0.1%,2021
57,Stephen Anderson (ARI),16,19,165,10.3,34,0,1,0,0,0,0,14,38.5,2.8,0.0%,2021
76,Stephen Anderson (ARI),8,11,106,13.3,23,0,0,0,0,0,0,16,18.6,1.2,0.0%,2020
287,Stephen Anderson (ARI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
82,Stephen Carlson (FA),5,7,51,10.2,21,1,1,0,0,0,0,9,16.1,1.8,0.0%,2019
101,Stephen Carlson (FA),1,2,11,11,11,0,0,0,0,0,0,16,4.1,0.3,0.0%,2020
152,Stephen Sullivan (CAR),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2020
126,Stephen Sullivan (CAR),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2021
5,T.J. Hockenson (DET),67,101,723,10.8,51,0,6,1,0,0,1,16,175.3,11,94.4%,2020
15,T.J. Hockenson (DET),61,84,583,9.6,33,0,4,0,0,0,0,12,145.3,12.1,94.4%,2021
31,T.J. Hockenson (DET),32,59,367,11.5,39,6,2,0,0,0,0,12,80.7,6.7,94.4%,2019
93,Tanner Hudson (SF),3,7,41,13.7,20,0,0,0,0,0,0,11,7.1,0.6,0.0%,2020
