Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season
130,Mack Hollins (LV),16,25,176,11,34,0,1,0,0,0,1,16,37.6,2.4,0.1%,2020
142,Mack Hollins (LV),10,23,125,12.5,20,1,0,0,0,0,0,16,22.5,1.4,0.1%,2019
489,Malachi Dupre (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018
150,Malcolm Perry (FA),9,13,92,10.2,25,0,1,3,5,0,0,9,24.7,2.7,1.0%,2020
159,Malik Taylor (GB),5,6,66,13.2,26,0,1,1,9,0,0,15,18.5,1.2,0.1%,2020
223,Malik Taylor (GB),2,3,14,7,7,0,0,0,0,0,1,7,1.4,0.2,0.1%,2021
117,Malik Turner (SF),15,22,245,16.3,33,6,1,0,0,0,0,15,45.5,3,0.1%,2019
126,Malik Turner (SF),12,16,149,12.4,61,0,3,0,0,0,0,7,44.9,6.4,0.1%,2021
183,Malik Turner (SF),2,3,20,10,19,0,0,0,0,0,0,6,4,0.7,0.1%,2018
272,Malik Turner (SF),0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.1%,2020
134,Marcell Ateman (FA),15,31,154,10.3,32,2,1,0,0,0,0,7,36.4,5.2,0.0%,2018
155,Marcell Ateman (FA),5,10,116,23.2,36,3,0,0,0,0,1,12,14.6,1.2,0.0%,2019
103,Marcus Johnson (SF),17,33,277,16.3,50,3,2,0,0,0,0,9,56.7,6.3,0.1%,2019
129,Marcus Johnson (SF),14,28,255,18.2,55,0,0,0,0,0,0,11,39.5,3.6,0.1%,2020
148,Marcus Johnson (SF),9,19,160,17.8,50,0,0,2,-2,0,0,7,24.8,3.5,0.1%,2021
154,Marcus Johnson (SF),6,8,102,17,34,1,1,1,-2,0,0,5,22,4.4,0.1%,2018
204,Marcus Kemp (FA),2,5,24,12,16,0,0,0,0,0,0,12,4.4,0.4,0.0%,2021
210,Marcus Kemp (FA),1,1,11,11,11,0,0,0,0,0,0,10,2.1,0.2,0.0%,2020
201,Marcus Kemp (FA),1,2,7,7,7,0,0,0,0,0,0,16,1.7,0.1,0.0%,2018
518,Marcus Kemp (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
432,Marken Michel (WAS),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2020
460,Markus Wheaton (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2018
453,Markus Wheaton (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
189,Marqise Lee (FA),3,4,18,6,8,0,0,1,1,0,0,6,4.9,0.8,0.0%,2019
43,Marquez Callaway (NO),46,84,698,15.2,58,0,6,0,0,0,0,17,151.8,8.9,2.5%,2021
125,Marquez Callaway (NO),21,27,213,10.1,27,0,0,0,0,0,0,11,42.3,3.8,2.5%,2020
258,Marquez Stevenson (BUF),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.1%,2021
55,Marquez Valdes-Scantling (KC),33,63,690,20.9,78,0,6,4,13,0,1,16,137.3,8.6,75.6%,2020
66,Marquez Valdes-Scantling (KC),38,72,581,15.3,60,8,2,2,29,0,0,16,111,6.9,75.6%,2018
81,Marquez Valdes-Scantling (KC),26,55,430,16.5,75,0,3,0,0,0,0,11,87,7.9,75.6%,2021
83,Marquez Valdes-Scantling (KC),26,56,452,17.4,74,7,2,2,9,0,0,16,84.1,5.3,75.6%,2019
22,Marquise Brown (ARI),91,146,"1,008",11.1,49,0,6,1,5,0,1,16,226.3,14.1,95.4%,2021
36,Marquise Brown (ARI),58,100,769,13.3,70,0,8,1,1,0,0,16,183,11.4,95.4%,2020
46,Marquise Brown (ARI),46,71,584,12.7,83,8,7,0,0,0,0,14,146.4,10.5,95.4%,2019
82,Marquise Goodwin (FA),23,43,395,17.2,67,5,4,4,9,0,0,11,87.4,7.9,0.1%,2018
115,Marquise Goodwin (FA),20,40,313,15.7,50,0,1,2,-1,0,0,14,57.2,4.1,0.1%,2021
125,Marquise Goodwin (FA),12,21,186,15.5,38,3,1,1,15,0,0,9,38.1,4.2,0.1%,2019
122,Martavis Bryant (FA),19,27,266,14,47,6,0,3,23,0,1,8,45.9,5.7,0.0%,2018
451,Martavis Bryant (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
106,Marvin Hall (FA),18,32,302,16.8,73,0,2,1,1,0,0,12,60.3,5,0.0%,2020
122,Marvin Hall (FA),7,11,261,37.3,58,6,1,1,7,0,0,9,39.8,4.4,0.0%,2019
138,Marvin Hall (FA),10,19,149,14.9,47,2,1,2,0,0,0,16,30.9,1.9,0.0%,2018
218,Marvin Hall (FA),1,1,10,10,10,0,0,0,0,0,0,1,2,2,0.0%,2021
18,Marvin Jones Jr. (JAC),76,115,978,12.9,43,0,9,0,0,0,0,16,227.8,14.2,30.1%,2020
28,Marvin Jones Jr. (JAC),62,91,779,12.6,47,12,9,2,0,0,0,13,193.9,14.9,30.1%,2019
34,Marvin Jones Jr. (JAC),73,120,832,11.4,33,0,4,0,0,0,0,17,180.2,10.6,30.1%,2021
63,Marvin Jones Jr. (JAC),35,62,508,14.5,39,5,5,0,0,0,0,9,115.8,12.9,30.1%,2018
241,Mason Kinsey (TEN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021
248,Matt Cole (SEA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020
250,Matt Cole (SEA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021
477,Matthew Slater (NE),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.1%,2018
479,Matthew Slater (NE),0,0,0,0,0,0,0,0,0,0,0,16,0,0,0.1%,2019
426,Matthew Slater (NE),0,0,0,0,0,0,0,0,0,0,0,15,0,0,0.1%,2020
401,Matthew Slater (NE),0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.1%,2021
225,Maurice Ffrench (LAC),0,0,0,0,0,0,0,1,3,0,0,2,0.3,0.2,0.0%,2021
109,Maurice Harris (FA),28,47,304,10.9,42,3,0,2,10,0,0,12,59.4,5,0.0%,2018
488,Max McCaffrey (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
48,Mecole Hardman (KC),59,83,693,11.7,53,0,2,8,46,0,2,17,140.9,8.3,70.0%,2021
61,Mecole Hardman (KC),41,62,560,13.7,49,0,4,4,31,0,2,16,128.1,8,70.0%,2020
61,Mecole Hardman (KC),26,41,538,20.7,83,9,6,4,17,0,2,16,119.5,7.5,70.0%,2019
