Rank,Player,REC,TGT,RecYDS,Y/R,LG,20+,RecTD,ATT,RushYDS,RushTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
1,Adam Thielen (MIN),8,11,123,15.4,51,5,2,0,0,0,0,1,28.3,28.3,89.3%,2020,11
3,Adam Thielen (MIN),6,8,110,18.3,37,3,2,0,0,0,0,1,28,28,89.3%,2020,1
5,Adam Thielen (MIN),9,13,80,8.9,14,0,2,1,3,0,0,1,24.8,24.8,89.3%,2020,5
5,Adam Thielen (MIN),8,10,114,14.3,39,3,1,1,8,0,0,1,22.2,22.2,89.3%,2020,4
10,Adam Thielen (MIN),8,9,97,12.1,24,2,1,0,0,0,0,1,19.7,19.7,89.3%,2020,16
11,Adam Thielen (MIN),4,7,43,10.8,17,0,2,0,0,0,0,1,18.3,18.3,89.3%,2020,10
13,Adam Thielen (MIN),8,11,75,9.4,14,0,1,0,0,0,0,1,17.5,17.5,89.3%,2020,13
20,Adam Thielen (MIN),3,5,51,17,35,2,1,0,0,0,0,1,12.6,12.6,89.3%,2020,6
36,Adam Thielen (MIN),3,5,29,9.7,16,0,1,1,4,0,0,1,10.8,10.8,89.3%,2020,3
45,Adam Thielen (MIN),2,3,11,5.5,8,0,1,0,0,0,0,1,8.1,8.1,89.3%,2020,15
46,Adam Thielen (MIN),4,5,57,14.3,20,1,0,0,0,0,0,1,7.7,7.7,89.3%,2020,17
68,Adam Thielen (MIN),3,4,39,13,15,0,0,0,0,0,0,1,5.4,5.4,89.3%,2020,14
71,Adam Thielen (MIN),2,5,38,19,30,2,0,0,0,0,0,1,4.8,4.8,89.3%,2020,9
87,Adam Thielen (MIN),3,8,31,10.3,18,0,0,0,0,0,0,1,4.6,4.6,89.3%,2020,2
65,Adam Thielen (MIN),3,4,27,9,12,0,0,0,0,0,0,1,4.2,4.2,89.3%,2020,8
119,Alex Bachman (HOU),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,7
25,Alex Erickson (WAS),6,6,88,14.7,42,4,0,0,0,0,0,1,11.8,11.8,0.0%,2020,16
84,Alex Erickson (WAS),2,3,17,8.5,9,0,0,0,0,0,0,1,2.7,2.7,0.0%,2020,13
95,Alex Erickson (WAS),1,1,9,9,9,0,0,1,7,0,0,1,2.1,2.1,0.0%,2020,4
96,Alex Erickson (WAS),1,1,8,8,8,0,0,1,2,0,0,1,1.5,1.5,0.0%,2020,11
105,Alex Erickson (WAS),1,3,8,8,8,0,0,1,2,0,0,1,1.5,1.5,0.0%,2020,17
151,Alex Erickson (WAS),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,1
152,Alex Erickson (WAS),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,2
158,Alex Erickson (WAS),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,3
127,Alex Erickson (WAS),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,5
140,Alex Erickson (WAS),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,6
132,Alex Erickson (WAS),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,7
127,Alex Erickson (WAS),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,8
147,Alex Erickson (WAS),0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2020,15
164,Alex Erickson (WAS),0,0,0,0,0,0,0,1,-4,0,0,1,-0.4,-0.4,0.0%,2020,12
166,Alex Erickson (WAS),1,1,9,9,9,0,0,1,0,0,1,1,-0.6,-0.6,0.0%,2020,14
144,Alex Erickson (WAS),0,0,0,0,0,0,0,0,0,0,1,1,-2,-2,0.0%,2020,10
5,Allen Lazard (GB),6,8,146,24.3,72,7,1,1,-2,0,0,1,23.4,23.4,85.5%,2020,3
13,Allen Lazard (GB),4,4,63,15.8,38,2,1,1,19,0,0,1,16.2,16.2,85.5%,2020,1
31,Allen Lazard (GB),4,6,23,5.8,8,0,1,0,0,0,0,1,10.3,10.3,85.5%,2020,12
44,Allen Lazard (GB),5,6,56,11.2,22,1,0,0,0,0,0,1,8.1,8.1,85.5%,2020,15
60,Allen Lazard (GB),3,4,50,16.7,31,2,0,0,0,0,0,1,6.5,6.5,85.5%,2020,13
67,Allen Lazard (GB),3,5,45,15,25,1,0,0,0,0,0,1,6,6,85.5%,2020,2
90,Allen Lazard (GB),2,3,19,9.5,14,0,0,0,0,0,0,1,2.9,2.9,85.5%,2020,14
78,Allen Lazard (GB),2,4,18,9,10,0,0,0,0,0,0,1,2.8,2.8,85.5%,2020,11
84,Allen Lazard (GB),2,4,17,8.5,14,0,0,0,0,0,0,1,2.7,2.7,85.5%,2020,17
92,Allen Lazard (GB),2,2,14,7,7,0,0,0,0,0,0,1,2.4,2.4,85.5%,2020,16
5,Allen Robinson II (LAR),8,13,74,9.3,20,1,2,0,0,0,0,1,23.4,23.4,33.8%,2020,12
