Round,Rank,Pos,Player,PosRank,Role,Score2022,Score2021,Score2020,Score2019,Score,ValueFactor,AdjValue
NA,397,WR,Jauan Jennings (SF),WR126,Depth,-0.304,1.058,0,0,0.097,5,0.484
NA,398,WR,Marquez Callaway (NO),WR127,Depth,-1.679,4.298,0,0,0.079,5,0.394
NA,402,WR,Olamide Zaccheaus (ATL),WR128,Depth,-0.005,0.276,-0.426,0,0.025,5,0.123
NA,405,WR,Jalen Reagor (MIN),WR129,Depth,0,-0.958,2.394,0,-0,5,-0.002
NA,408,WR,Dez Fitzpatrick (TEN),WR130,Depth,0,-0.253,0,0,-0.207,5,-1.037
NA,409,WR,Quez Watkins (PHI),WR131,Depth,-0.789,1.102,0,0,-0.233,5,-1.163
NA,410,WR,Freddie Swain (DEN),WR132,Depth,0,-0.318,0,0,-0.261,5,-1.306
NA,412,WR,Terrace Marshall Jr. (CAR),WR133,Depth,0.895,-3.21,0,0,-0.312,5,-1.561
NA,415,WR,Trent Sherfield (MIA),WR134,Depth,-0.425,0,0,0,-0.425,5,-2.124
NA,417,WR,KJ Hamler (DEN),WR135,Depth,0,-1.343,1.389,0,-0.461,5,-2.306
NA,420,WR,Albert Wilson (LV),WR136,Depth,0,-0.97,0,1.149,-0.506,5,-2.53
NA,421,WR,James Proche II (BAL),WR137,Depth,0,-0.62,0,0,-0.509,5,-2.543
NA,422,WR,Samori Toure (GB),WR138,Depth,-0.55,0,0,0,-0.55,5,-2.749
NA,425,WR,Breshad Perriman (TB),WR139,Depth,-2.405,0.66,3.327,5.038,-0.694,5,-3.468
NA,427,WR,Shi Smith (CAR),WR140,Depth,-0.751,0,0,0,-0.751,5,-3.755
NA,429,WR,Tutu Atwell (LAR),WR141,Depth,-0.795,0,0,0,-0.795,5,-3.977
NA,432,WR,Laquon Treadwell (SEA),WR142,Depth,-2.025,1.456,0,0,-1.002,5,-5.008
NA,434,WR,Brandon Johnson (DEN),WR143,Depth,-1.01,0,0,0,-1.01,5,-5.051
NA,435,WR,Tyler Johnson (TB),WR144,Depth,0,-1.402,0,0,-1.149,5,-5.746
NA,437,WR,Kendall Hinton (DEN),WR145,Depth,-1.259,0,0,0,-1.259,5,-6.296
NA,439,WR,Marcus Johnson (NYG),WR146,Depth,0,-2.032,-2.035,0.941,-1.362,5,-6.811
NA,441,WR,Equanimeous St. Brown (CHI),WR147,Depth,-1.412,0,0,0,-1.412,5,-7.061
NA,443,WR,Ray-Ray McCloud III (SF),WR148,Depth,0,-1.939,0,0,-1.59,5,-7.948
NA,444,WR,Dee Eskridge (SEA),WR149,Depth,0,-2.009,0,0,-1.648,5,-8.238
NA,447,WR,Scotty Miller (TB),WR150,Depth,-2.201,0,1.073,-1.536,-1.72,5,-8.6
NA,448,WR,Phillip Dorsett II (HOU),WR151,Depth,-2.186,-2.039,0,2.021,-1.911,5,-9.556
NA,451,WR,Denzel Mims (NYJ),WR152,Depth,-2.625,0,1.61,0,-2.02,5,-10.099
NA,452,WR,Trinity Benson (DET),WR153,Depth,0,-2.539,0,0,-2.082,5,-10.409
NA,455,WR,Kyle Philips (TEN),WR154,Depth,-2.178,0,0,0,-2.178,5,-10.888
NA,456,WR,Collin Johnson (NYG),WR155,Depth,0,-2.763,0,0,-2.266,5,-11.33
NA,457,WR,Steven Sims Jr. (PIT),WR156,Depth,-2.841,0,-1.264,1.643,-2.332,5,-11.66
NA,458,WR,Racey McMath (TEN),WR157,Depth,-2.402,0,0,0,-2.402,5,-12.01
NA,459,WR,Dyami Brown (WAS),WR158,Depth,0,-3.074,0,0,-2.521,5,-12.604
NA,460,WR,Juwann Winfree (GB),WR159,Depth,0,-3.166,0,0,-2.596,5,-12.981
NA,462,WR,Michael Bandy (LAC),WR160,Depth,-3.368,0,0,0,-3.368,5,-16.839
