Player,FPMD,NFLMD1,NFLMD2,NFLMD3
Ray-Ray McCloud (SF),NA,NA,NA,NA
Henry Ruggs III (FA),NA,NA,NA,NA
Cole Beasley (FA),NA,NA,NA,NA
David Johnson (FA),NA,NA,NA,NA
Jared Cook (FA),NA,NA,NA,NA
Odell Beckham Jr. (FA),NA,NA,NA,NA
Devonta Freeman (FA),NA,NA,NA,NA
Jordan Howard (FA),NA,NA,NA,NA
Tim Patrick (DEN),NA,NA,NA,NA
Ty Long (FA),NA,NA,NA,NA
Latavius Murray (FA),NA,NA,NA,NA
Devontae Booker (FA),NA,NA,NA,NA
Adrian Peterson (FA),NA,NA,NA,NA
Danny Amendola (FA),NA,NA,NA,NA
Alex Collins (FA),NA,NA,NA,NA
Carlos Hyde (FA),NA,NA,NA,NA
Peyton Barber (FA),NA,NA,NA,NA
