Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season
43,Peyton Barber (FA),154,470,3.1,17,0,6,16,24,115,7.2,1,1,16,116.5,7.3,0.6%,2019
74,Peyton Barber (FA),94,258,2.7,15,0,4,4,7,12,3,0,0,16,55,3.4,0.6%,2020
80,Peyton Barber (FA),55,212,3.9,27,0,2,10,13,67,6.7,0,0,10,49.9,5,0.6%,2021
13,Phillip Lindsay (MIA),192,"1,037",5.4,65,8,9,35,47,241,6.9,1,0,15,222.8,14.9,0.7%,2018
19,Phillip Lindsay (MIA),224,"1,011",4.5,40,7,7,35,48,196,5.6,0,0,16,197.7,12.4,0.7%,2019
66,Phillip Lindsay (MIA),118,502,4.3,55,0,1,7,14,28,4,0,0,11,66,6,0.7%,2020
85,Phillip Lindsay (MIA),88,249,2.8,35,0,1,4,5,45,11.3,1,0,14,45.4,3.2,0.7%,2021
168,Pooka Williams Jr. (CIN),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2021
91,Qadree Ollison (ATL),22,50,2.3,6,0,4,1,2,7,7,0,0,8,30.7,3.8,0.1%,2019
110,Qadree Ollison (ATL),21,105,5,19,0,1,4,6,12,3,0,1,6,19.7,3.3,0.1%,2021
159,Qadree Ollison (ATL),1,3,3,3,0,0,0,0,0,0,0,0,3,0.3,0.1,0.1%,2020
26,Raheem Mostert (MIA),137,772,5.6,41,3,8,14,22,180,12.9,2,2,16,165.2,10.3,83.4%,2019
48,Raheem Mostert (MIA),104,521,5,80,0,2,16,19,156,9.8,1,1,8,99.7,12.5,83.4%,2020
87,Raheem Mostert (MIA),34,261,7.7,52,2,1,6,7,25,4.2,0,1,9,38.6,4.3,83.4%,2018
154,Raheem Mostert (MIA),2,20,10,11,0,0,0,0,0,0,0,0,1,2,2,83.4%,2021
42,Rashaad Penny (SEA),119,749,6.3,62,0,6,6,8,48,8,0,0,10,121.7,12.2,88.3%,2021
59,Rashaad Penny (SEA),65,370,5.7,58,4,3,8,11,83,10.4,1,1,10,75.3,7.5,88.3%,2019
67,Rashaad Penny (SEA),85,419,4.9,38,4,2,9,12,75,8.3,0,0,14,70.4,5,88.3%,2018
142,Rashaad Penny (SEA),11,34,3.1,7,0,0,0,0,0,0,0,0,3,3.4,1.1,88.3%,2020
184,Raymond Calais (LAR),0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.1%,2020
93,Reggie Bonnafon (WAS),16,116,7.3,59,1,1,6,10,57,9.5,0,0,16,29.3,1.8,0.1%,2019
114,Reggie Bonnafon (WAS),12,69,5.8,22,0,0,2,2,18,9,1,0,2,16.7,8.4,0.1%,2020
148,Reggie Bonnafon (WAS),1,4,4,4,0,0,2,2,12,6,0,0,1,3.6,3.6,0.1%,2021
127,Reggie Gilliam (BUF),0,0,0,0,0,0,2,2,16,8,1,0,14,9.6,0.7,0.0%,2020
136,Reggie Gilliam (BUF),3,3,1,2,0,0,3,5,23,7.7,0,0,8,5.6,0.7,0.0%,2021
44,Rex Burkhead (HOU),67,274,4.1,18,0,3,25,33,192,7.7,3,0,10,107.6,10.8,11.8%,2020
52,Rex Burkhead (HOU),122,427,3.5,36,0,3,25,32,186,7.4,0,0,15,104.3,7,11.8%,2021
48,Rex Burkhead (HOU),65,302,4.6,33,1,3,27,38,279,10.3,0,1,13,101.1,7.8,11.8%,2019
79,Rex Burkhead (HOU),57,186,3.3,12,0,0,14,20,131,9.4,1,1,8,49.7,6.2,11.8%,2018
47,Rhamondre Stevenson (NE),133,606,4.6,21,0,5,14,18,123,8.8,0,1,12,114.9,9.6,84.2%,2021
132,Ricky Ortiz (FA),0,0,0,0,0,0,3,4,11,3.7,0,0,12,4.1,0.3,0.0%,2018
135,Ricky Ortiz (FA),0,0,0,0,0,0,1,1,8,8,0,0,2,1.8,0.9,0.0%,2019
149,Rico Dowdle (DAL),7,24,3.4,7,0,0,0,0,0,0,0,0,15,2.4,0.2,0.2%,2020
151,Robert Kelley (FA),4,8,2,6,0,0,0,0,0,0,0,0,2,0.8,0.4,0.0%,2018
154,Robert Turbin (FA),4,10,2.5,5,0,0,1,2,3,3,0,1,2,0.3,0.2,0.0%,2018
297,Robert Turbin (FA),0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2019
122,Roc Thomas (FA),8,30,3.8,23,1,0,2,4,21,10.5,0,0,5,7.1,1.4,0.0%,2018
89,Rod Smith (FA),44,127,2.9,14,0,1,9,12,60,6.7,0,0,16,33.7,2.1,0.0%,2018
313,Rod Smith (FA),0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.0%,2019
86,Rodney Smith (FA),41,156,3.8,13,0,1,9,11,59,6.6,0,0,7,36.5,5.2,0.0%,2020
124,Rodney Smith (FA),0,0,0,0,0,0,5,5,48,9.6,0,0,1,9.8,9.8,0.0%,2021
20,Ronald Jones II (KC),192,978,5.1,98,0,7,28,42,165,5.9,1,2,14,186.3,13.3,86.4%,2020
25,Ronald Jones II (KC),172,724,4.2,49,6,6,31,40,309,10,0,2,16,166.3,10.4,86.4%,2019
62,Ronald Jones II (KC),101,428,4.2,30,0,4,10,13,64,6.4,0,2,15,79.2,5.3,86.4%,2021
95,Ronald Jones II (KC),23,44,1.9,9,0,1,7,9,33,4.7,0,0,9,20.7,2.3,86.4%,2018
118,Roosevelt Nix (FA),1,4,4,4,0,0,4,6,38,9.5,0,0,16,8.2,0.5,0.0%,2018
134,Roosevelt Nix (FA),0,0,0,0,0,0,2,3,4,2,0,0,3,2.4,0.8,0.0%,2019
36,Royce Freeman (HOU),132,496,3.8,26,1,3,43,50,256,6,1,0,16,142.2,8.9,0.7%,2019
47,Royce Freeman (HOU),130,521,4,24,2,5,14,20,72,5.1,0,1,14,101.3,7.2,0.7%,2018
84,Royce Freeman (HOU),35,170,4.9,23,0,0,12,13,81,6.8,0,0,16,37.1,2.3,0.7%,2020
94,Royce Freeman (HOU),56,169,3,13,0,0,10,16,77,7.7,0,0,12,34.6,2.9,0.7%,2021
121,Ryan Hewitt (FA),0,0,0,0,0,0,1,2,1,1,1,0,12,7.1,0.6,0.0%,2018
106,Ryan Nall (DAL),3,0,0,0,0,0,8,9,67,8.4,1,0,15,20.7,1.4,0.1%,2020
155,Ryan Nall (DAL),1,4,4,4,0,0,1,1,4,4,0,0,5,1.8,0.4,0.1%,2021
