Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST,Season,Week
16,Eddy Pineiro (NYJ),1,1,100,46,0,0,0,1,0,2,2,1,6,6,0.1%,2019,7
23,Eddy Pineiro (NYJ),1,1,100,30,0,0,1,0,0,3,3,1,6,6,0.1%,2019,13
32,Eddy Pineiro (NYJ),1,1,100,46,0,0,0,1,0,0,0,1,4,4,0.1%,2019,16
27,Eddy Pineiro (NYJ),1,1,100,38,0,0,1,0,0,0,0,1,3,3,0.1%,2019,1
25,Eddy Pineiro (NYJ),0,0,0,0,0,0,0,0,0,3,3,1,3,3,0.1%,2019,5
28,Eddy Pineiro (NYJ),0,0,0,0,0,0,0,0,0,2,2,1,2,2,0.1%,2019,9
25,Eddy Pineiro (NYJ),0,0,0,0,0,0,0,0,0,2,3,1,2,2,0.1%,2019,10
25,Eddy Pineiro (NYJ),0,2,0,0,0,0,0,0,0,1,1,1,1,1,0.1%,2019,11
82,Giorgio Tavecchio (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0%,2019,1
67,Graham Gano (NYG),0,0,0,0,0,0,0,0,0,0,0,1,0,0,34.0%,2019,1
26,Greg Joseph (MIN),0,0,0,0,0,0,0,0,0,5,5,1,5,5,5.5%,2019,17
31,Greg Joseph (MIN),0,0,0,0,0,0,0,0,0,4,4,1,4,4,5.5%,2019,16
32,Greg Joseph (MIN),0,0,0,0,0,0,0,0,0,0,0,1,0,0,5.5%,2019,1
3,Greg Zuerlein (NYJ),3,4,75,56,0,1,0,1,1,3,3,1,15,15,17.8%,2019,1
2,Greg Zuerlein (NYJ),3,4,75,55,0,2,0,0,1,4,4,1,15,15,17.8%,2019,7
6,Greg Zuerlein (NYJ),2,2,100,58,0,0,0,1,1,4,4,1,13,13,17.8%,2019,4
7,Greg Zuerlein (NYJ),3,4,75,47,0,0,2,1,0,2,2,1,12,12,17.8%,2019,5
6,Greg Zuerlein (NYJ),2,3,66.7,53,0,0,1,0,1,2,2,1,10,10,17.8%,2019,3
8,Greg Zuerlein (NYJ),2,3,66.7,33,0,1,1,0,0,4,4,1,10,10,17.8%,2019,13
10,Greg Zuerlein (NYJ),2,2,100,24,0,2,0,0,0,3,3,1,9,9,17.8%,2019,2
11,Greg Zuerlein (NYJ),1,2,50,52,0,0,0,0,1,4,4,1,9,9,17.8%,2019,16
17,Greg Zuerlein (NYJ),1,2,50,47,0,0,0,1,0,4,4,1,8,8,17.8%,2019,17
16,Greg Zuerlein (NYJ),2,2,100,46,0,0,1,1,0,0,0,1,7,7,17.8%,2019,12
22,Greg Zuerlein (NYJ),1,1,100,23,0,1,0,0,0,3,3,1,6,6,17.8%,2019,8
15,Greg Zuerlein (NYJ),1,1,100,38,0,0,1,0,0,2,2,1,5,5,17.8%,2019,11
22,Greg Zuerlein (NYJ),1,2,50,30,0,0,1,0,0,1,1,1,4,4,17.8%,2019,10
28,Greg Zuerlein (NYJ),0,1,0,0,0,0,0,0,0,4,4,1,4,4,17.8%,2019,14
27,Greg Zuerlein (NYJ),0,0,0,0,0,0,0,0,0,1,1,1,1,1,17.8%,2019,6
31,Greg Zuerlein (NYJ),0,0,0,0,0,0,0,0,0,1,1,1,1,1,17.8%,2019,15
1,Harrison Butker (KC),4,4,100,54,0,1,0,2,1,2,2,1,18,18,81.3%,2019,9
1,Harrison Butker (KC),4,4,100,46,0,2,1,1,0,4,4,1,17,17,81.3%,2019,1
1,Harrison Butker (KC),4,5,80,43,0,0,2,2,0,2,3,1,16,16,81.3%,2019,10
6,Harrison Butker (KC),3,3,100,48,0,0,1,2,0,2,2,1,13,13,81.3%,2019,14
6,Harrison Butker (KC),3,3,100,39,0,1,2,0,0,3,3,1,12,12,81.3%,2019,7
9,Harrison Butker (KC),2,3,66.7,44,0,1,0,1,0,4,4,1,11,11,81.3%,2019,4
5,Harrison Butker (KC),2,2,100,42,0,0,1,1,0,3,4,1,10,10,81.3%,2019,3
7,Harrison Butker (KC),1,1,100,50,0,0,0,0,1,5,5,1,10,10,81.3%,2019,13
6,Harrison Butker (KC),3,3,100,44,0,2,0,1,0,0,0,1,10,10,81.3%,2019,15
7,Harrison Butker (KC),2,2,100,56,0,0,1,0,1,2,3,1,10,10,81.3%,2019,16
19,Harrison Butker (KC),1,1,100,40,0,0,0,1,0,4,4,1,8,8,81.3%,2019,17
17,Harrison Butker (KC),2,2,100,36,0,1,1,0,0,1,1,1,7,7,81.3%,2019,5
14,Harrison Butker (KC),1,2,50,41,0,0,0,1,0,3,3,1,7,7,81.3%,2019,6
12,Harrison Butker (KC),1,1,100,41,0,0,0,1,0,3,3,1,7,7,81.3%,2019,11
21,Harrison Butker (KC),1,2,50,28,0,1,0,0,0,3,3,1,6,6,81.3%,2019,8
23,Harrison Butker (KC),0,0,0,0,0,0,0,0,0,4,4,1,4,4,81.3%,2019,2
4,Jake Elliott (PHI),3,4,75,48,0,0,1,2,0,2,2,1,13,13,14.1%,2019,13
8,Jake Elliott (PHI),2,2,100,50,0,0,1,0,1,4,4,1,12,12,14.1%,2019,17
8,Jake Elliott (PHI),2,2,100,53,0,0,0,1,1,2,2,1,10,10,14.1%,2019,6
