Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season
318,Jason Cabinda (DET),0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.1%,2019
320,Lavon Coleman (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
321,Patrick Ricard (BAL),0,0,0,0,0,0,8,11,47,5.9,1,0,16,0,0,0.1%,2019
322,Jordan Chunn (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
323,Donnie Ernsberger (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
324,Trenton Cannon (TEN),0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.2%,2019
325,Detrez Newsome (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
326,Justin Davis (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
330,David Fluellen (FA),0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0%,2019
331,Christine Michael (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
332,Mike Gillislee (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
333,Jeremy Hill (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
335,Derrick Coleman (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1%,2019
336,Jeremy Langford (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
337,Cameron Artis-Payne (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019
338,Michael Burton (KC),0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0.1%,2019
341,Corey Clement (FA),0,0,0,0,0,0,0,0,0,0,0,2,4,-4,-1,1.0%,2019
