Rank,Player,ATT,RushYDS,Y/A,LG,20+,RushTD,REC,TGT,RecYDS,Y/R,RecTD,FL,G,FPTS,FPTS/G,ROST,Season,Week
86,Benny Snell Jr. (PIT),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.3%,2019,1
83,Benny Snell Jr. (PIT),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.3%,2019,5
26,Bilal Powell (FA),19,74,3.9,11,0,0,2,3,14,7,0,0,1,9.8,9.8,0.0%,2019,14
48,Bilal Powell (FA),7,42,6,17,0,0,1,2,5,5,0,0,1,5.2,5.2,0.0%,2019,11
58,Bilal Powell (FA),4,14,3.5,6,0,0,2,2,4,2,0,0,1,2.8,2.8,0.0%,2019,13
56,Bilal Powell (FA),7,27,3.9,14,0,0,0,0,0,0,0,0,1,2.7,2.7,0.0%,2019,17
55,Bilal Powell (FA),5,15,3,7,0,0,1,2,5,5,0,0,1,2.5,2.5,0.0%,2019,12
56,Bilal Powell (FA),2,16,8,10,0,0,0,0,0,0,0,0,1,1.6,1.6,0.0%,2019,9
50,Bilal Powell (FA),7,15,2.1,13,0,0,0,0,0,0,0,0,1,1.5,1.5,0.0%,2019,10
69,Bilal Powell (FA),1,3,3,3,0,0,1,2,5,5,0,0,1,1.3,1.3,0.0%,2019,16
67,Bilal Powell (FA),4,11,2.8,5,0,0,0,0,0,0,0,0,1,1.1,1.1,0.0%,2019,8
64,Bilal Powell (FA),1,5,5,5,0,0,0,1,0,0,0,0,1,0.5,0.5,0.0%,2019,6
73,Bilal Powell (FA),1,4,4,4,0,0,0,0,0,0,0,0,1,0.4,0.4,0.0%,2019,5
72,Bilal Powell (FA),1,3,3,3,0,0,0,0,0,0,0,0,1,0.3,0.3,0.0%,2019,7
98,Bilal Powell (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,1
91,Bilal Powell (FA),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,3
20,Bo Scarbrough (FA),14,55,3.9,23,1,1,0,0,0,0,0,0,1,11.5,11.5,0.0%,2019,11
35,Bo Scarbrough (FA),21,83,4,15,0,0,0,0,0,0,0,0,1,8.3,8.3,0.0%,2019,13
25,Bo Scarbrough (FA),18,98,5.4,30,2,0,0,1,0,0,0,1,1,7.8,7.8,0.0%,2019,12
39,Bo Scarbrough (FA),19,65,3.4,7,0,0,1,3,5,5,0,0,1,7.5,7.5,0.0%,2019,14
54,Bo Scarbrough (FA),9,42,4.7,15,0,0,0,0,0,0,0,0,1,4.2,4.2,0.0%,2019,17
54,Bo Scarbrough (FA),8,34,4.3,18,0,0,0,0,0,0,0,0,1,3.4,3.4,0.0%,2019,16
2,Boston Scott (PHI),19,54,2.8,15,0,3,4,6,84,21,0,0,1,33.8,33.8,1.2%,2019,17
7,Boston Scott (PHI),10,59,5.9,25,1,1,6,6,69,11.5,0,0,1,21.8,21.8,1.2%,2019,14
27,Boston Scott (PHI),6,26,4.3,6,0,0,7,7,39,5.6,0,0,1,10,10,1.2%,2019,15
44,Boston Scott (PHI),3,12,4,5,0,0,6,6,7,1.2,0,0,1,4.9,4.9,1.2%,2019,16
46,Boston Scott (PHI),5,6,1.2,5,0,1,0,0,0,0,0,1,1,4.6,4.6,1.2%,2019,8
41,Boston Scott (PHI),7,32,4.6,14,0,0,1,1,5,5,0,0,1,4.2,4.2,1.2%,2019,7
51,Boston Scott (PHI),4,30,7.5,15,0,0,0,0,0,0,0,0,1,3,3,1.2%,2019,6
59,Boston Scott (PHI),7,26,3.7,12,0,0,0,0,0,0,0,0,1,2.6,2.6,1.2%,2019,11
98,Boston Scott (PHI),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2%,2019,9
98,Boston Scott (PHI),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2%,2019,12
111,Boston Scott (PHI),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.2%,2019,13
93,Brandin Bryant (BUF),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,12
104,Brandin Bryant (BUF),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,13
104,Brandin Bryant (BUF),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,14
103,Brandin Bryant (BUF),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0%,2019,15
22,Brandon Bolden (LV),3,23,7.7,21,1,1,2,2,22,11,0,0,1,11.5,11.5,0.2%,2019,6
28,Brandon Bolden (LV),5,13,2.6,5,0,0,1,1,29,29,1,0,1,10.7,10.7,0.2%,2019,5
41,Brandon Bolden (LV),1,10,10,10,0,1,0,0,0,0,0,0,1,7,7,0.2%,2019,14
43,Brandon Bolden (LV),1,4,4,4,0,1,0,0,0,0,0,0,1,6.4,6.4,0.2%,2019,4
33,Brandon Bolden (LV),1,2,2,2,0,0,4,4,39,9.8,0,0,1,6.1,6.1,0.2%,2019,7
58,Brandon Bolden (LV),2,-2,-1,3,0,0,2,3,21,10.5,0,0,1,2.9,2.9,0.2%,2019,3
62,Brandon Bolden (LV),1,11,11,11,0,0,0,0,0,0,0,0,1,1.1,1.1,0.2%,2019,12
75,Brandon Bolden (LV),1,7,7,7,0,0,0,0,0,0,0,0,1,0.7,0.7,0.2%,2019,1
95,Brandon Bolden (LV),0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0.2%,2019,8
89,Brandon Bolden (LV),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,9
96,Brandon Bolden (LV),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,11
102,Brandon Bolden (LV),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,13
100,Brandon Bolden (LV),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,15
93,Brandon Bolden (LV),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,16
97,Brandon Bolden (LV),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2%,2019,17
11,Brian Hill (FA),20,61,3.1,15,0,0,1,2,10,10,1,0,1,13.6,13.6,0.0%,2019,10
20,Brian Hill (FA),9,62,6.9,27,1,1,0,0,0,0,0,0,1,12.2,12.2,0.0%,2019,14
30,Brian Hill (FA),3,29,9.7,23,1,1,0,0,0,0,0,0,1,8.9,8.9,0.0%,2019,8
36,Brian Hill (FA),7,66,9.4,18,0,0,0,0,0,0,0,0,1,6.6,6.6,0.0%,2019,16
44,Brian Hill (FA),4,13,3.3,8,0,0,3,3,24,8,0,0,1,5.2,5.2,0.0%,2019,13
